Order_ID,Expected_Delivery_Time
tfxz025621580,52
kgjb145446786,122
xrxy085440961,92
pnzt689957903,68
qrng205617369,178
gycd207308146,87
wqfy256790455,88
vgjr167867003,138
jqco336937571,218
iwkp065421476,99
nwvu459529234,175
jjcl090851660,51
bpbi053158546,172
ksec432319879,82
rszv454658332,112
cdyc438548517,132
xoka811702118,132
nyum131271823,177
iwoy649851528,206
lhus187289759,116
szbb646301545,153
bwgn919229310,93
pdxn136638766,133
zzsx562940707,143
gyvm380029078,119
umwc109456087,180
dsbe906886027,141
xnzb532907287,155
ltrp525870768,217
rbzk606295253,74
ltoi660207512,168
pkhq469939766,149
jgbc287273591,112
xzzw562394658,216
gjwc226881646,238
lrbb564302256,97
fkyd365052251,105
wciq107093545,222
edxx482704762,127
jxsj508533395,24
xlta607070306,157
lubd358643567,17
ycwb227184501,89
mikp615052003,193
djrw974238657,162
rxki994339301,82
wfjy432968933,55
opdl820466364,130
wbpn330130607,127
jtsd466670552,108
enww399699472,216
rvns240114667,208
fvko144254933,213
jocn049365284,168
atgc248887447,88
jexa898688264,122
cmvs014428179,268
ntme294239634,106
tryr235168039,172
cpya420089193,183
opvd660426426,82
ecar963502319,78
pbmy587069805,138
wasv461278289,132
byhp076235734,231
ohfh963147472,148
nkmh560985800,114
gvea147758996,25
cypx969023715,142
oamt174420009,125
vmgc964372188,53
jnge623681084,133
kzvx918950241,117
rlgt572766152,197
lvnz878892159,53
zhyo265634674,157
ezxe128319748,185
kifq556800414,63
carl757119263,125
ywqd911535741,133
ppqt362000534,147
czis944259836,163
ibwr067523869,21
fyao616279169,165
bfvj522482572,138
zeaw181992534,76
tkua467465647,144
ljgp550489562,92
hnoc705310037,69
lzkv724137602,152
qpqb113436782,139
teij116088130,195
zutg690542042,150
qphf884454355,155
fcib257172141,184
fium151549195,216
vvnq162473052,147
hhem665543827,124
zfgf746938367,77
nfdj333236314,196
zfxe533340329,101
kwmv603335255,75
gopn683041817,77
ppri902151840,95
libi732501950,101
kdbu035077095,125
mfol662804540,212
bdgu970232668,73
odlo529484325,145
vxvr447893698,68
fmhd254099683,56
evzr452255970,95
hdgi344002220,144
ypdy132507323,56
vpun175942482,69
cdkz589624699,72
kiyg810534481,16
pwbi898606991,99
taqg748867597,130
dkgi875489081,132
ubag651976139,216
zxtz236128998,127
hmju318251956,141
ltwr528697521,83
jsku204560077,220
istj070213071,162
dahw022547497,75
vvgj958702360,133
rabu202619192,23
aeuj226729421,92
rbiv368919286,75
kxfb230420855,54
hwmm104541576,213
qnwk753395424,99
vvqg343205052,143
iuxj806937978,55
yyny933118563,149
bwhs416644198,31
rfxd157515921,21
pgjt711137922,75
fxir538138707,247
kezq280741564,225
dqha770938362,185
biau131098726,142
zkun393659280,172
lxwa140818117,138
uyid942578627,217
scqu849553683,57
mctx146223837,153
cyko979976221,194
uesw387337499,232
wowz415217997,132
uxsb403561931,158
cyye995820696,210
jbts229431770,123
iqbd216667101,193
bszz787750715,107
eynm000731182,91
cdmn013747827,107
fxuz549696901,118
jtpt648811611,238
oxji736034406,62
rihr033620085,163
gczg917526696,78
svpx912240732,98
asgd164341326,88
xqcr834027606,133
dmrl564554163,123
efrs776811164,154
ljep947754095,130
ljfy543933323,192
fshk983313794,94
wypw496102732,88
ayns342721271,122
thym058259757,131
lgzn457957462,143
qezt047211927,78
gzdo509306528,83
ersz046238543,119
tgpw108094548,121
inqt227293158,171
mwyi621708115,80
hzpx007931304,128
gbab110045112,150
hvpj165495397,248
ceed295586354,26
tonn051257985,162
erap841821582,27
iavt937545530,119
trka856987401,81
lcgk008504983,132
zqro449286965,126
syeh579470089,160
zhab316861798,124
qqjl805129936,14
weco669309017,89
zbel647135442,153
emwe467794784,230
xznm347660092,23
nyfh224947388,39
uvri048682496,135
bbws342212288,135
wsoh266827723,161
leff787822709,140
talu198958493,148
anfx475383342,136
eddt314765083,56
pcyt916802893,12
ungk686699285,135
jgcy113446649,127
ronf620294989,134
hoxq128553542,29
pmtg425435413,158
qefg170628671,127
bdlk287272047,159
iqem237229463,144
zazf712069296,163
dpcr770207794,175
glsd963477325,136
zhhx122382345,55
titu043025048,138
gyxe336866683,150
zlcm795242431,162
zdvi265864937,128
wduj099075306,191
xhwj851689395,129
opbb084664115,153
nplz786278633,140
vfml243571298,125
evto530786855,147
ckgu502252849,88
tjxh038296843,228
xhlz301038990,171
zpnu794398600,119
xiuy990187238,219
mupr233190762,182
pkqs694908430,140
qibd572188244,187
rwkg752700186,10
xukr152686247,112
pkts252955495,25
kjef892715538,133
pmpr684370621,170
bpyt851249485,127
fdjp742606171,18
deff957321361,142
vakz912181469,17
lxlx275255455,86
dowq522268038,184
xdao434795901,207
qzve473103395,168
sgrh968289641,124
jpet729617185,148
tbbu562785662,238
yhct639146328,92
vpzi082179640,142
wxqg297592780,155
eein393878639,79
qkiq165480717,125
hqwk443892657,112
xkxm865630486,15
bvni933228891,28
befv867092423,101
hobf254746878,162
lhfo186255622,86
emki208355100,190
eiug703797186,68
gpgw045112006,131
pajv540287866,180
pfch546197063,145
watp349944722,11
ipvd026583007,246
pexn467185751,210
nmla539707523,117
dbuw981669021,231
dbyg819334603,29
koew144021127,68
qmjh777621315,126
pszf462397050,122
figc612141073,59
gpwj834408989,123
pwbf401580256,30
vpzj106843126,92
rpxi920665792,26
vhkj347911892,93
ilfo183800165,125
blgx713939207,117
wlra252926669,199
vxra135801103,112
fzng561300776,35
sdij345774967,213
ylyn963444268,129
prwc675910621,136
sqjm123634300,173
bptj463968079,115
njei617905873,132
nltq801700453,86
jttm849299889,82
dmps249322564,78
gego068198063,192
fptn470372741,125
gqbu367833799,65
izaj168715864,237
fnep523025583,143
prmd574549289,144
mrjm925736117,161
bxmi331655934,207
mhbw191834924,198
zgus506380717,83
qebb550457670,239
nkwa401940966,197
cywj467789158,58
sjkg905066419,98
xntp740548398,175
pvcu885016852,79
xzhm898208742,77
uglc908112005,155
ggni863426619,52
bzru027859331,109
abfq998863769,78
wywl453950288,121
dypb040671273,78
vqlk306910270,210
hvgr961766492,152
lmam222460100,154
ynfp918283334,166
ntqf654847526,79
wltg948769753,77
wfnp526037482,126
snnk405400637,87
wpqb321718229,128
sdoi829127570,168
idya109511672,161
ttrz409682533,110
nfya937262694,253
lmop404805897,78
ybxm786583586,114
enld417016844,92
lmmw269814056,124
iwhg780258471,215
iwgk345795951,53
tsgt870627135,172
iceq731335361,73
xiqr562543389,127
ccvj862813862,151
vavf041518880,83
ojgk976611501,148
gzhs999389838,7
lpoo559278752,115
ciiu227813992,147
dmfn307541025,143
whbe278371630,69
ajon496915803,143
fjwn048296205,135
hibb670568838,77
mpxz628633412,216
rqqt145827294,221
xrou628500081,107
xnwm549054246,79
tcjj860782373,92
ceoa860679195,82
ozff337964990,231
hdrw273058143,128
jjpc681328627,86
wnja265203362,200
kkkn806065019,83
ahcl676711139,217
fnmz024487519,44
tsnh426803977,171
jlvk970569104,199
nkob102431367,81
aitb076913492,66
zzht454845366,143
penp730595480,117
tqqq117400105,82
wrbr570700916,36
wzvs619072447,100
oini183602327,143
elrp114539975,151
fvoq332072223,69
kemd906602818,152
kqmi499374214,127
qdqs225203666,138
ztel491150706,84
sfok287655638,166
rbvw350017323,178
evfg719847858,192
kcdr224504524,126
nuxp187566978,199
ervj934596417,162
kqnb541413741,211
oric826953147,160
urec609350393,155
ovti492712870,121
brfo817641389,152
pbsp176319059,108
kfjw636000221,154
szso398384860,82
pjbh964684827,124
oaew463729559,17
dhru296264034,161
jrdt044319812,97
aefs889604846,54
aozl672518026,104
fmmu732691037,220
cmnr733682904,98
velf920731059,57
grsq278292648,114
rqha328591539,60
rhpv487359562,197
aokn153705465,77
tnxr721054246,83
sxnc962329653,121
hsbp920939915,167
mbhl763139783,147
dqml870257443,72
oipo304682095,140
npqc426335347,126
kbcb187418479,80
nvss305715416,12
nfbo612860913,171
bvje827756058,178
tmra080782884,125
gtmc763426867,72
kjln790080169,246
gqyt412008922,172
hojh303673874,169
uowo219202183,193
laly052364040,29
seue774035229,56
hpfx282951824,166
kwac459258247,237
drnq455410643,126
cpai239579459,182
vjqj497482999,77
ikqm848453901,70
escq078763525,148
llgk631278832,148
qpgp954149325,83
qhmc638167529,122
qthn147451965,157
sfpc015585430,57
hllu627872258,170
wrjr749227681,146
xzrl716784548,95
mmbt765343357,57
zayq005312106,113
icjn893090853,121
jwef100439998,128
iray690328025,181
kdbz058571456,157
qbnx455660626,232
eibc335635387,93
kxcm483694128,163
lyqs160626048,117
sqpt381009382,150
kzec642267375,83
fjsy457667101,120
qcyn693653025,48
zxza102160001,158
xdus014073429,158
kdoi450584961,208
ikkh818371440,186
nqfm352762141,163
jhfa779664836,119
xbxn200447293,192
necv303251571,127
wqea232651451,140
zhbv507383833,125
vlst254301121,101
kklz242189792,47
xcpn200806737,172
dxuq411671723,214
dlxs382799710,66
ltpv954472394,174
oitk739579230,124
pazq694586181,107
oisq612742703,58
wzvu432262336,185
wper150449859,147
xzho220714716,101
zrwp620728072,110
gyxw898561903,152
ecem060800309,127
botn800344578,25
tqxi045146775,81
kgap585195507,270
dmfj519519219,107
tjib241378229,127
cads491909704,51
yoxg386579172,214
jgze646200858,95
ugdy034169362,139
xzbl323280136,154
lqyq813452304,98
pchy611585669,99
okgr359664734,71
wzel129960984,240
fhco827148157,126
bcww473893145,81
azgk940712115,112
bzoo769001078,186
ubcd783242087,85
jiyc198145687,100
kscw878662353,60
kvqk488778566,196
kpjr226562494,137
igvi130716526,82
fkun064220230,250
lyyj446897623,245
vdsc242802639,244
ittj864611306,172
jzzk349096295,90
sdxs740704107,10
mttu695236585,165
ooki837835398,138
yogd343858268,79
gcvw047760888,145
jrpn294896376,132
urgh719421847,73
xwtx438995455,177
sccp018255873,118
xxor408538921,52
jrzw710510668,134
eggk782414616,131
hidy261467651,86
jptb980554885,68
vpsf780953121,152
yzbx667733486,108
hxog930219425,172
jkkv014691736,142
sfrj659517575,104
onok376892035,80
xnmd060157935,120
mzeb245970250,92
nuyk105990581,95
qodg716991505,102
cvog500284478,158
jwdp033586938,69
ggxk185781605,92
jysr427028144,132
apll985655975,104
ybmg115603702,95
hgvp189522861,102
wjsm256325267,132
mirt199087171,138
wigz116241077,150
djni578384701,93
booz176813299,187
yrxv783282166,64
mjzv475761405,90
vogj512177127,155
vmcr655255820,123
sbaj018996229,213
mivz461407242,106
rdus129341681,162
fump208124017,88
zzdt398224350,113
rosu742347769,136
mltg533186640,187
griq568538346,120
ulic859633079,46
hikf286518789,83
izvl399117454,105
tbln574225506,83
sgep605324393,264
sgrv807655331,80
ltuo081712610,107
xbhq884931942,155
nymu234606643,72
qnht214154545,133
itfi259801851,72
vhkd487067380,143
kbln393702128,153
kjni870891929,99
ognp232305886,157
guht709314264,132
vazf926651495,107
gwsn039100496,220
fvvr839976631,127
hvcw149352257,68
nsor575698541,28
noiv975543322,95
axtz155758687,128
cqkf340722182,182
uzno711040707,142
yucd410527852,120
hnhg555883986,170
larg251421075,50
mqhw773310802,87
znys264264304,79
jbvi392181477,50
hamx365036358,110
euea467890264,198
fyhn937992389,110
brjp572494933,88
ywqt342960968,122
oifg249484577,97
amwt677706239,117
bvka348874203,92
xncp919063413,163
dzja169620854,124
mfkm295992455,178
kljo727155219,83
crwj681968834,118
xigp305225329,147
orkh922812379,57
epws628648070,159
vjso332723361,230
bncl161561536,160
phdn272715324,139
sojs277662991,161
plbh544658611,149
dwpz461110458,156
iegb214834761,162
ocwa633756358,202
xxku620056780,72
vkzz832219130,253
ohzf165095441,85
wafx978606463,109
mjny778475225,237
lfkr680811422,217
fakz515425358,127
intd941914908,25
mmnq033985559,127
egyg586560007,147
tsjg989601604,125
dyyv405381763,117
ypoi593771415,132
iwqj434088008,25
gvoc220746028,128
owjw109017720,83
wnua569339256,82
rkkn946013798,137
sedz438633697,118
phvu276201595,74
yzco846093054,132
kbxz166579673,98
jsvc767291402,89
rbfe187517457,218
bsrk558755933,114
dgye215214408,155
eyhx467155501,109
cpvr765393098,94
jrzz070590798,52
wpvn370540505,199
tifw976395462,124
icti836263169,100
kddb655628516,139
vnhq327619759,87
npch760309383,74
evvs500014087,102
tech899419111,230
gtvm381235972,87
omzj432297634,52
essy604523183,145
cusu248875311,212
edco522391392,172
ctoj872363102,137
taqs429293566,135
vqty702282323,87
rpge560994264,77
rqcs923125271,112
bkmx082772212,118
cfhn315113890,82
adiv498964791,87
hojv987068372,214
zvkx405674622,117
fgzk425074716,166
paom510411686,128
nung093192090,97
fwvo451250409,62
awyc243905733,80
unic591472044,162
nhdk983966912,137
kgbi202766353,142
rxrk922214537,127
iauj712732773,83
itdi360890843,169
ziyc225083622,145
cuql549797849,168
uihw861416295,140
cmqf429277404,130
iypw167065359,183
aecv597151350,116
addp276655174,158
jvev469820141,165
twuy336541938,68
uotq333364336,58
opdf699695945,77
vwml283310596,83
jlwh564514757,85
fdng780283298,108
rmle339606284,198
fokf045562405,20
mmhe959868409,143
rzbq717508778,77
pgae607790008,147
hpua184773788,150
gggb753628772,121
yskx271672040,58
vwhm385500781,118
agux910512982,145
jume050100672,163
mafw581032294,83
nrmz910220511,86
goym112724831,166
mcjg202506760,222
gvjx942268592,135
oosb954281783,36
msst937092386,19
yarl392103492,182
trvz490719836,99
kwvo176250144,185
wjky761986350,95
rleh153953902,145
vcpo904984519,72
qith021312304,61
yxel261089528,83
whjk646058031,100
svxy111176694,190
pqlj119874486,78
gsjz313680509,127
ysof955290928,50
hzir281026902,86
lezb158488142,17
ters101342796,25
osuu217847532,166
uybm390303163,153
tpma104105121,142
bebv151631351,195
eqko291188915,94
bpkr573708864,112
tiku670163066,86
gcjo049307092,165
wdiy581729479,97
npwo106548418,80
ytvd567194993,98
lcma897382130,218
prsx065636625,103
smtn937032095,197
ozjz810226690,67
gasz878984846,225
doai643866562,180
xqes087347664,38
bjdg509711656,68
clet305799189,118
ojkf639678702,132
ovzn802438564,102
xnsg076844692,137
elcp839245372,162
lvph411101254,106
urnq808828173,110
kxdc810247309,177
ydsr554309330,162
wmds295023114,168
snxt657345988,117
tlpw634103887,242
hxlc252959441,80
qfnw066693562,150
dxgf368981190,188
saaz395276267,241
mjjl405462834,53
eciz076285667,71
hpap861728738,119
ckgk578696273,90
mxpd911239648,188
bfup174692326,194
bkpw908369288,102
jvxn936557952,225
qadk676361128,20
rbxp135564227,78
nilz831017646,108
znzw919146964,67
nhda436221842,148
rhqv232160757,183
dzcs575936167,148
aazb527937675,120
evzc748467090,92
jpzg430807944,134
dvmq392406893,167
tnkl744303420,107
lifh604608424,191
scbx441036149,89
gtzj875717503,204
wbjr032258806,209
caty508037770,165
kchf265636656,155
etrv648439532,98
dgry532903313,215
mpkj907688327,120
hitb222861066,72
zbwm782393236,243
kmbo231089374,142
untf875440546,119
mkva994791983,69
hprk377013710,94
prlz497875409,170
dcyv640821977,35
tnte563080527,94
pgzl777716873,155
uqac946966795,237
srts927270263,180
qcbh914401278,103
ontn116289809,121
heke604150121,174
mleb942163074,74
obhg842862910,95
zpor766267650,98
rxfg748489108,97
ifzh038597668,105
vwne871291890,88
nvkv892242670,72
tfpw264934804,194
rmgo277916637,36
rjuk855079528,25
sbwi574419008,162
opms922781586,134
ivpy820825330,57
hdce688458513,113
gxan859732316,37
kzbu064137694,212
ugxo576067618,186
bnva693926602,55
pnrw431937733,150
xhqi749945004,132
bnnr851834947,122
tgte845838682,195
rndx903920678,49
woyb459293049,199
wsri799484644,205
exyc683633861,25
oels853255874,194
brnd208997655,134
kfhd623107769,98
nzhp394170773,103
extd941092460,65
ppqi698287741,221
ftxu257921170,56
ohfz488690337,129
hjje440881295,127
zqcy759656108,73
ucak745030472,184
dxtj319166247,14
kitt337907719,118
dvkw198193286,85
xqkm789529983,148
uxnt196160734,156
hgqd672005050,124
nrgt655064427,122
pign307670486,108
cmiy697846170,96
svlw573443641,163
wkyn138619655,143
pdpv628261886,103
ebtw655648192,128
hqju352058882,258
rvxp980815851,138
wzmv373637225,86
eamn881338159,87
huhy242117286,73
gwnt537190370,133
spqt033970808,28
qsyq438659561,104
bxmp908266441,59
qkwq310213954,108
xpdx531588871,201
oolu940481971,93
drgh498946193,77
mtcr221173183,18
ncnc584203263,223
aeuz262262868,36
ewye976989972,185
kqub936334770,78
cynm740325829,133
izkt125502221,12
yalk869869009,119
ijbv680529287,164
fryg770479707,145
uwok406160969,222
eeaa240160362,125
dwgu964602157,87
plst305855182,147
zrpq813560282,188
fitr462640911,91
free869467861,137
uvvq389339705,143
ntvz882330474,147
rwmk327867739,146
nbtb320230472,113
jmiq794769698,74
ohze761414069,66
ayaz132478544,146
osdy640862265,126
uvyy370020833,79
uukj703038347,144
joho495798943,80
viin268221671,85
tqld761290890,150
zowb416004967,193
hxsv146301375,22
vcrk401368337,8
mhkw290830083,115
kfcu924212731,191
rxjl381247495,23
tuta922105802,57
koix478559898,76
wqat343494398,183
jnsg096646298,97
eftv183377462,80
vbov706169890,136
mvfm680151780,131
xlpe045102396,182
cejy226046554,165
czrj276469828,144
isjt130284891,232
feae494105353,231
clhu804165445,47
jxrf169692899,125
efdx471867417,104
kgff353118810,90
dxpp270325088,47
infm664974136,88
hpnm290643169,112
hnqv058755510,137
mgrx755723874,118
gsxp713225103,114
fovj902160238,123
vzak930805113,81
wqbn742164110,206
hfhp615114180,202
fpeb630346665,189
qwtz585923442,66
nysz428512850,100
yclh606693743,169
eoyw264695592,187
cqgf277187595,83
jnmr186460460,170
ybno365477309,117
vfhe855243438,142
zhvc197658271,173
awdg688478059,88
qupd691357930,155
nzzf451013056,94
kmtr436001502,54
dcjq369735860,148
xymd067773155,134
zbyk417020424,75
exuy523131129,88
sqtm450286045,148
bqaj634508884,162
dmmp119908815,148
lojq488482902,158
uhyq391997681,115
xftk326814718,130
qiuy817789680,115
pgyt519102035,235
pujr838903453,83
isug830737615,81
mevk873975968,80
hkej902332178,122
frsu078164876,241
jbow828636115,196
hzvf550637519,176
pptv161931085,123
ppej396980672,129
jrho477870175,197
semx001117179,97
sozu200605179,173
nxkw893997870,87
mbqb854396458,145
wphi807993068,219
wrzu413211805,137
kmlj204977311,93
ejsq217046138,93
lrds708812627,127
ioih538554468,151
bete036087771,113
ocnv924293810,175
ufae289501860,94
vnih047964175,166
cddf063695641,108
oyal910271888,155
layh729492910,188
ymng798718313,96
essk207754652,53
yrih838332088,187
vdmi492416566,142
svem176400459,93
doon224879164,140
ymsk030400198,122
hpme076021953,162
jwgq604828505,14
ianz745498696,148
vkha829962812,158
enwc770077643,146
gngv207202756,163
wxew867198992,88
trrb181561381,188
jhtk998208672,159
gonx442529661,191
gqcg026945779,99
dufp775941792,159
neva367167678,63
kpag818782100,75
gedp538037050,12
pvan038951763,81
kvwa018084722,127
ptkj030172940,52
cezg106088049,1
usxr316097565,232
akoz380684866,107
nfce969942017,183
pjug002688286,82
vikg162972879,147
maqv741757893,267
opbx862587426,63
uzkz304464726,65
kexo258229392,124
clem453437680,193
nxpb824181186,130
bzxn977256068,115
cvdl990253127,114
mjzt727796336,83
rprm941776983,38
qlxd233412275,186
eyhw538677164,145
funr092965012,121
llio867927147,127
djix264206361,98
oxol182687202,223
pnpo275079524,88
ufyn357564233,118
mqyt408064437,123
grun949827686,128
pqcp028397646,127
lwnn523334605,98
kgfl810725335,199
iclc215845220,221
pxvb549205039,105
muho720763592,131
sbdg148961210,121
lyvf617345919,69
mxcg722447955,33
oecn886699205,117
dnoo159789919,74
nyvm953349270,125
lyfj290477839,72
rzkn346505836,89
etlj814004241,56
kxsb919855631,96
qhkg170565051,75
onpl825857274,117
kkhw301173513,62
iruw500521972,117
fxbq139850567,114
uvmv930512740,148
ktdx058407184,111
urhz950401191,16
xngz344622786,66
kfgw936101474,137
aybr082208761,104
gvky658966212,143
qrqb417247451,138
vqxo511607668,149
mzcl470074616,100
apzw816500736,146
vzjl675125937,131
hgxd621773551,93
xwnw275675300,128
mxvm113834046,217
byii728520830,131
cioy299432831,190
shnv655742100,61
viqb333243673,144
yqxv797113423,189
ruyb280329466,164
mitw210337293,172
wotf599366328,102
rqtl469649268,104
njgp155450822,131
refh410818329,172
kwdb419640562,161
frsl659775658,104
rbzt855851680,148
qaat242029531,90
utsv027796309,125
xekn033657822,89
mvyd490228119,92
qcqi772306643,142
wnpp722539183,108
jppa472683579,97
ppxj725379040,196
tehh524032165,72
pfeo478603414,84
pnum098205462,146
qfoi469142169,222
vjjp354432041,128
sbon911363608,71
yjcu578829902,177
wdwy749028166,132
dvop930848829,158
xifq754454483,198
ofve687656755,116
cdaq777399914,88
oeov748943310,113
hhqz133129850,120
xzli596164060,72
gxzt429483765,206
gxyc978944836,79
pftw443642329,185
vlzn491770976,117
shie458425500,69
tpvi838965034,193
hgch149561621,122
ztlp034630218,174
oftl814541880,195
xrkl760915751,158
wjpk251116710,182
ymja443550626,233
fxhe535112204,221
qmzk801359166,117
ctmw261279101,73
rmeg912705267,200
qdbl515347652,137
rdfj079101370,140
ksev165764370,99
dmfu023290610,27
sfvp160404891,52
zrfb196199495,122
rolf775082560,92
ytul609480135,163
nqro604328231,107
aazn737952952,87
ecdj272605091,148
twvb324939360,97
tnwb220497997,130
wync788461269,156
yvdy289011095,122
esjb872223468,187
nzvd906925631,149
bsqk265680919,183
wmer117649955,136
wyve798721282,145
efeg240565729,197
zotm397801844,145
ppqj828384088,94
gtqm466367978,83
tmsa971752606,110
mrdg183916741,54
wxpi352725051,217
xsuc749889780,83
gtba871485612,91
kjed097017426,166
wtxa425781396,152
nhmh602995173,190
tspl270546782,128
xtxf499661170,212
xtqy748494351,122
kcla849398035,85
eleu714010991,103
hgnv075721858,78
lqho431780551,138
zjgh066097748,136
tuxj270012761,133
oieh239035364,183
airk705743135,70
gdrk265926256,78
stjj961635623,113
kkho378389637,69
kxqf101800161,82
yano766261325,73
cdjf356575860,98
vhpk240815076,140
nbdt525518092,70
igfx402803138,253
uafv042200407,93
ldfr027910517,222
kjoy052193677,83
moql695975380,104
cnha846875587,137
ilik524489306,107
sgbx964391226,144
dmlb392137609,53
iidu252906442,105
twzc159161410,90
ahpw889747350,131
dqwj529709333,112
pjyz815469689,149
bssa512198308,111
pbnw436480858,139
kbhy965593154,132
ipth625568658,118
mhnq894221044,91
xdlg182205237,82
ngwa693646075,128
vtqm150980350,216
kohn971192560,38
ypjt848394023,217
eihy643202396,140
wcpa418499031,57
bqid480406898,137
sqdn998740185,84
duwh849295111,247
htug427811289,103
nunp088399200,89
ickk104874458,160
qkng540588833,215
pzgk212590209,162
wgkd595087168,127
lmxn002468658,119
lxop126840206,115
osms416384924,133
bchp683452298,110
eqkn117175350,93
ljpj528376472,138
kvqt411182558,190
wzor461345857,61
fppf827639521,258
jzua192808217,221
qbte083425691,68
iyif048654892,103
llow419157478,95
cucg223916129,216
jycy734082027,133
xidr027765496,133
xwbp931682713,141
dwpi800871102,246
ueld485410219,55
ykav904051615,143
urjq336892318,80
gptv935132751,78
rarh555402225,44
zucs936689975,95
xevi070602575,168
ugji724168131,96
joxn091305095,192
tmdf641903919,188
vuqg377117546,136
wgem320340840,112
hwws232500356,130
mnjd600263184,150
zdyw098408444,28
pbgv914858472,144
dujz464372048,127
faga714662182,74
fbpw994270287,134
ckja885026409,217
zehw760218436,127
jvel732240130,77
isru255446454,84
udzw159147896,163
rxkp158305116,132
nuvf078341972,119
eogj328079080,198
uuvo280781821,172
jvgf373737586,242
uyrh350992868,153
cyjz116991692,183
zuxg688304372,162
mlue084492076,153
qdmt426772296,93
inxl851246023,78
dmyg638155216,187
utvc306138563,127
bfye449446709,95
xgkc894370525,143
tnju042895757,110
fpec923082767,160
yjgc887502954,132
gpnn269410809,103
buge370381067,178
mvwq665627868,90
cvaa438332321,153
xona043870448,130
jdso163554546,74
tymq516105988,89
cary103758997,213
knmw486561606,31
yrnz045948163,165
rdbq876789050,189
ioru673155538,77
frfl403451050,132
qexg537923832,130
qeru674000616,105
ruuz288634685,188
etnr995589799,90
gbxv786161578,121
qnsb448805142,142
lfvd233482646,124
jjpw687950604,47
nugp950456015,100
jzqi659694881,109
uvtv530116098,98
samq461069236,79
uqez483103029,93
rooj662513338,79
ejjb219940486,154
urqt583953895,178
slet857338432,107
pqxm462462561,74
zron929691184,70
mjph321722493,87
pogp353440596,90
rpyw443262347,93
wxpa942436797,225
jayx246729237,175
aukh388663964,109
nxqt284455621,110
ejpc593482151,204
ttzl062883342,84
nczb640324590,91
bbjz341859236,213
jesm060905400,148
siad710211601,117
cknf175496356,19
owlf766927394,83
ksns380486204,68
qhwt643382348,174
taos979064352,145
jxha519047663,93
svmm286827299,197
idvc620402493,172
tbvc207410371,80
zmmp444485902,78
bakh785464108,50
wdqi304049575,56
hsvd786851224,125
czyt145124850,104
tidy908954840,95
rzxf271868954,146
osdt375123736,217
ssqr217571771,84
esxa231447008,163
cvxh524001080,127
udew741352785,261
emba089749528,75
ieqb319927234,163
ybor166795451,115
gnhz097229665,140
xdrb914748696,212
igll093473818,82
ploo363254812,106
fzzv593019874,212
dkly190694902,73
nbuq671487864,102
uhko305138917,208
cjld200477837,122
kfjq373831395,177
qcnp699972139,97
vpap820650448,205
zpay689231989,143
kulw647465544,148
hmyy650826340,115
broc583934059,98
lkwe721808877,65
ucrj268656333,121
crkq926827558,170
bajg463441784,136
zujw883585417,258
vzul280099607,83
vejl834931767,132
linu089149477,143
efcr592528237,103
